sex,internetdailyhour,transport,vehicletype,monthlygrocerybill,frequencyoftravelingbyair,vehiclemonthlydistancekm,wastebagweeklycount,timespentonpc,carbonemission
female,1,public,,230,frequently,210,4,7,2238
female,5,walk/bicycle,,114,rarely,9,3,9,1892
male,6,private,petrol,138,never,2472,1,14,2595
male,7,walk/bicycle,,157,rarely,74,3,20,1074
female,6,private,diesel,266,very frequently,8457,1,3,4743
male,9,public,,144,frequently,658,1,22,1647
female,19,private,hybrid,56,rarely,5363,4,9,1832
female,15,walk/bicycle,,59,very frequently,54,3,5,2322
male,15,public,,200,frequently,1376,3,3,2494
female,18,public,,135,rarely,440,1,8,1178
female,21,public,,146,never,1561,4,12,1427
male,4,walk/bicycle,,111,very frequently,69,5,9,3226
female,4,walk/bicycle,,114,rarely,92,3,18,1593
female,10,private,lpg,111,rarely,2893,6,13,1732
male,8,public,,123,rarely,1989,6,13,1743
female,15,public,,225,very frequently,692,6,9,2101
male,14,walk/bicycle,,219,frequently,7,4,23,2609
female,22,public,,104,rarely,948,6,1,1565
male,9,private,petrol,126,very frequently,7622,2,6,5272
female,6,walk/bicycle,,288,never,51,4,15,1220
male,5,private,electric,282,rarely,2237,6,0,1300
female,7,public,,69,rarely,1804,1,6,1024
male,3,walk/bicycle,,110,never,85,3,14,706
male,20,private,diesel,165,frequently,472,4,17,2582
male,20,private,diesel,62,very frequently,5737,1,5,4284
female,3,walk/bicycle,,94,rarely,88,6,17,807
female,23,public,,259,frequently,558,4,4,1991
male,14,public,,67,rarely,752,3,14,1817
male,10,walk/bicycle,,130,rarely,71,2,10,1490
female,4,public,,258,frequently,1028,2,13,1561
female,10,public,,189,frequently,1527,4,23,2202
female,15,walk/bicycle,,262,frequently,88,5,24,2024
female,22,walk/bicycle,,157,frequently,73,4,1,1659
female,4,private,lpg,280,very frequently,8320,5,9,3911
male,10,walk/bicycle,,121,never,72,6,11,1204
female,15,walk/bicycle,,174,very frequently,9,2,1,2431
male,20,walk/bicycle,,173,frequently,60,2,16,1640
male,15,walk/bicycle,,199,frequently,13,5,17,1648
male,17,walk/bicycle,,94,rarely,32,6,15,1002
female,16,walk/bicycle,,64,frequently,49,1,19,1771
female,5,public,,100,very frequently,1351,1,20,2028
female,5,public,,240,very frequently,1726,2,15,2540
female,10,public,,245,never,1021,7,14,1386
female,11,walk/bicycle,,270,rarely,62,5,22,1679
male,18,private,electric,294,very frequently,9488,5,16,3141
male,24,public,,87,very frequently,1037,4,0,2627
male,3,private,electric,209,never,9555,2,13,1188
male,5,private,diesel,124,never,9031,5,1,3174
female,12,public,,276,frequently,1461,7,19,2327
female,9,walk/bicycle,,90,very frequently,39,3,22,1822
female,24,private,diesel,136,never,5033,6,0,2665
male,7,public,,246,frequently,1065,4,22,2129
male,21,public,,94,rarely,927,5,18,1425
male,20,private,hybrid,253,frequently,2277,1,0,1690
female,0,walk/bicycle,,200,rarely,97,7,13,1717
male,5,private,lpg,281,frequently,7272,2,4,4060
female,17,private,petrol,82,rarely,5260,3,14,3262
female,12,public,,73,rarely,1750,1,9,1674
male,3,private,hybrid,246,frequently,2998,4,0,3135
male,20,private,lpg,98,rarely,9147,5,1,4465
male,8,public,,256,rarely,1947,3,23,1984
female,3,private,lpg,287,very frequently,4885,1,21,3246
female,14,walk/bicycle,,63,frequently,20,4,1,1351
male,2,walk/bicycle,,158,never,23,1,24,1929
male,10,walk/bicycle,,241,frequently,34,5,24,2719
female,19,walk/bicycle,,176,frequently,59,1,11,2336
female,3,public,,189,never,682,6,0,1270
female,24,walk/bicycle,,214,never,10,6,20,1803
female,17,walk/bicycle,,264,very frequently,10,1,7,1816
male,9,private,petrol,213,never,7964,1,16,4638
female,22,private,hybrid,281,rarely,3606,3,16,1909
male,1,public,,280,frequently,536,2,2,2021
male,23,public,,125,rarely,1564,5,4,1896
male,3,walk/bicycle,,188,frequently,78,4,11,1770
female,3,walk/bicycle,,251,never,98,1,12,1323
